RecordSize,Lat,County,State,Long,PlaceName,ZipCode,calculate this,FileType=CSV,Version=1.0,SizeType=ASCII,us_postal_codes_COLUMN_RANDOMIZED.pki,PKISchema=CSV,40933,FieldsPerRecord=5,PKIFormat=PKI,IndexEndOfHeaderRecord,
46,Hampden,1139,42.171139,-72.6048,Springfield,MA
46,Hampden,1144,42.101144,-72.5915,Springfield,MA
48,Hampden,1151,42.151151,-72.505,Indian Orchard,MA
46,Hampden,1152,42.171152,-72.6048,Springfield,MA
45,Hampden,1199,42.111199,-72.605,Springfield,MA
47,Berkshire,1201,42.451201,-73.2471,Pittsfield,MA
47,Berkshire,1202,42.391202,-73.2285,Pittsfield,MA
47,Berkshire,1203,42.391203,-73.2285,Pittsfield,MA
42,Berkshire,1220,42.621220,-73.1172,Adams,MA
49,Berkshire,1222,42.051222,-73.3202,Ashley Falls,MA
43,Berkshire,1223,42.351223,-73.1203,Becket,MA
46,Berkshire,1224,42.511224,-73.1929,Berkshire,MA
44,Berkshire,1225,42.561225,-73.158,Cheshire,MA
43,Berkshire,1226,42.471226,-73.1603,Dalton,MA
43,Berkshire,1227,42.471227,-73.1662,Dalton,MA
45,Berkshire,1229,42.271229,-73.3435,Glendale,MA
53,Berkshire,1230,42.191230,-73.3607,Great Barrington,MA
45,Berkshire,1235,42.421235,-73.0724,Hinsdale,MA
47,Berkshire,1236,42.261236,-73.3745,Housatonic,MA
49,Berkshire,1237,42.511237,-73.2282,Lanesborough,MA
40,Berkshire,1238,42.291238,-73.2317,Lee,MA
42,Berkshire,1240,42.361240,-73.2713,Lenox,MA
47,Berkshire,1242,42.331242,-73.2509,Lenox Dale,MA
48,Hampshire,1243,42.351243,-73.0104,Middlefield,MA
46,Berkshire,1244,42.121244,-73.254,Mill River,MA
45,Berkshire,1245,42.181245,-73.2065,Monterey,MA
46,Berkshire,1247,42.691247,-73.08,North Adams,MA
51,Berkshire,1252,42.191252,-73.4462,North Egremont,MA
41,Berkshire,1253,42.191253,-73.0918,Otis,MA
45,Berkshire,1254,42.371254,-73.3645,Richmond,MA
48,Berkshire,1255,42.101255,-73.1163,Sandisfield,MA
42,Berkshire,1256,42.571256,-73.0233,Savoy,MA
46,Berkshire,1257,42.101257,-73.3611,Sheffield,MA
51,Berkshire,1258,42.101258,-73.4566,South Egremont,MA
47,Berkshire,1259,42.071259,-73.2609,Southfield,MA
46,Berkshire,1260,42.271260,-73.2773,South Lee,MA
48,Berkshire,1262,42.301262,-73.3223,Stockbridge,MA
48,Berkshire,1263,42.391263,-73.2285,Stockbridge,MA
46,Berkshire,1264,42.221264,-73.1979,Tyringham,MA
53,Berkshire,1266,42.331266,-73.3825,West Stockbridge,MA
49,Berkshire,1267,42.701267,-73.2036,Williamstown,MA
44,Berkshire,1270,42.511270,-73.0412,Windsor,MA
46,Franklin,1301,42.601301,-72.6236,Greenfield,MA
46,Franklin,1302,42.521302,-72.6242,Greenfield,MA
43,Franklin,1330,42.521330,-72.811,Ashfield,MA
42,Worcester,1331,42.591331,-72.2267,Athol,MA
47,Franklin,1337,42.691337,-72.5772,Bernardston,MA
44,Franklin,1338,42.571338,-72.8213,Buckland,MA
46,Franklin,1339,42.601339,-72.8901,Charlemont,MA
43,Franklin,1340,42.671340,-72.7265,Colrain,MA
42,Franklin,1341,42.511341,-72.7025,Conway,MA
45,Franklin,1342,42.541342,-72.6072,Deerfield,MA
42,Berkshire,1343,42.641343,-72.9862,Drury,MA
